Lottery Date,Lottery Numbers
 Saturday13th January 1996 , 21 29 31 32 34 48 25 
 Saturday6th January 1996 , 2 3 4 13 42 44 24 
 Wednesday31st December 1997 , 8 13 18 21 23 29 30 
 Saturday27th December 1997 , 14 21 28 31 40 46 9 
 Wednesday24th December 1997 , 5 6 11 29 36 41 47 
 Saturday20th December 1997 , 1 2 7 26 34 38 14 
 Wednesday17th December 1997 , 17 35 36 43 46 49 7 
 Saturday13th December 1997 , 3 4 11 14 30 32 46 
 Wednesday10th December 1997 , 4 17 22 29 38 48 20 
 Saturday6th December 1997 , 5 9 19 21 30 49 43 
 Wednesday3rd December 1997 , 1 8 36 39 47 49 37 
 Saturday29th November 1997 , 2 8 21 29 46 47 28 
 Wednesday26th November 1997 , 5 11 19 23 24 47 17 
 Saturday22nd November 1997 , 8 14 24 28 39 45 29 
 Wednesday19th November 1997 , 22 27 33 42 46 47 32 
 Saturday15th November 1997 , 11 14 23 32 34 35 41 
 Wednesday12th November 1997 , 3 6 8 27 36 45 47 
 Saturday8th November 1997 , 5 24 34 37 40 48 33 
 Wednesday5th November 1997 , 1 4 6 9 32 38 46 
 Saturday1st November 1997 , 9 10 14 16 37 39 28 
 Wednesday29th October 1997 , 2 4 25 32 33 45 31 
 Saturday25th October 1997 , 10 21 27 38 40 44 34 
 Wednesday22nd October 1997 , 1 8 9 14 24 35 33 
 Saturday18th October 1997 , 4 9 25 28 32 46 47 
 Wednesday15th October 1997 , 11 17 30 35 39 45 47 
 Saturday11th October 1997 , 15 17 18 27 34 40 29 
 Wednesday8th October 1997 , 3 4 7 23 34 43 15 
 Saturday4th October 1997 , 12 19 28 36 40 46 38 
 Wednesday1st October 1997 , 8 12 17 35 38 49 25 
 Saturday27th September 1997 , 15 21 29 32 33 40 42 
 Wednesday24th September 1997 , 12 14 29 31 32 44 46 
 Saturday20th September 1997 , 9 30 38 40 43 44 31 
 Wednesday17th September 1997 , 7 20 21 22 40 44 4 
 Saturday13th September 1997 , 1 2 5 31 32 40 44 
 Wednesday10th September 1997 , 20 31 32 35 43 45 5 
 Sunday7th September 1997 , 20 22 26 36 40 41 16 
 Wednesday3rd September 1997 , 10 14 22 30 38 43 25 
 Saturday30th August 1997 , 6 20 30 33 38 46 42 
 Wednesday27th August 1997 , 1 7 22 25 31 47 20 
 Saturday23rd August 1997 , 4 10 25 36 44 47 29 
 Wednesday20th August 1997 , 8 20 27 28 36 41 30 
 Saturday16th August 1997 , 2 9 19 20 38 49 11 
 Wednesday13th August 1997 , 5 10 17 29 41 43 45 
 Saturday9th August 1997 , 1 18 20 25 30 31 44 
 Wednesday6th August 1997 , 3 5 6 20 45 49 31 
 Saturday2nd August 1997 , 2 16 28 37 43 47 31 
 Wednesday30th July 1997 , 3 6 12 19 44 45 20 
 Saturday26th July 1997 , 9 15 20 27 30 41 31 
 Wednesday23rd July 1997 , 4 11 21 27 28 34 16 
 Saturday19th July 1997 , 7 19 36 44 45 47 4 
 Wednesday16th July 1997 , 8 18 23 26 35 45 3 
