Lottery Date,Lottery Numbers
 Wednesday28th June 2000 , 8 10 27 38 40 46 3 
 Saturday24th June 2000 , 6 9 32 34 42 48 4 
 Wednesday21st June 2000 , 1 10 24 33 37 46 4 
 Saturday17th June 2000 , 4 22 24 25 40 43 6 
 Wednesday14th June 2000 , 4 7 23 24 26 38 3 
 Saturday10th June 2000 , 1 14 15 35 44 47 34 
 Wednesday7th June 2000 , 2 5 20 24 28 39 21 
 Saturday3rd June 2000 , 3 8 19 35 36 48 21 
 Wednesday31st May 2000 , 1 11 14 19 38 44 45 
 Saturday27th May 2000 , 21 23 33 34 43 45 40 
 Wednesday24th May 2000 , 6 8 21 36 38 46 33 
 Saturday20th May 2000 , 7 11 18 21 25 44 28 
 Wednesday17th May 2000 , 1 10 11 15 21 48 7 
 Saturday13th May 2000 , 6 30 35 42 44 45 33 
 Wednesday10th May 2000 , 10 18 29 37 38 46 4 
 Saturday6th May 2000 , 2 3 30 31 41 45 23 
 Wednesday3rd May 2000 , 5 6 24 36 38 48 15 
 Saturday29th April 2000 , 15 16 19 27 29 42 24 
 Wednesday26th April 2000 , 4 9 14 28 36 39 6 
 Saturday22nd April 2000 , 26 31 35 43 48 49 38 
 Wednesday19th April 2000 , 1 3 7 19 29 44 25 
 Saturday15th April 2000 , 2 23 28 31 46 48 42 
 Wednesday12th April 2000 , 9 12 19 22 26 34 44 
 Saturday8th April 2000 , 18 23 30 46 47 49 31 
 Wednesday5th April 2000 , 2 3 7 10 40 48 37 
 Saturday1st April 2000 , 3 11 19 25 29 30 16 
 Wednesday29th March 2000 , 11 18 20 23 28 32 15 
 Saturday25th March 2000 , 15 22 23 27 32 37 43 
 Wednesday22nd March 2000 , 6 18 20 33 36 40 10 
 Saturday18th March 2000 , 5 8 15 16 22 39 31 
 Wednesday15th March 2000 , 7 12 25 28 30 40 37 
 Saturday11th March 2000 , 7 12 37 42 46 49 9 
 Wednesday8th March 2000 , 6 18 22 32 36 46 24 
 Saturday4th March 2000 , 11 13 19 26 28 47 8 
 Wednesday1st March 2000 , 4 8 10 12 15 30 34 
 Saturday26th February 2000 , 3 5 6 8 16 45 1 
 Wednesday23rd February 2000 , 11 17 18 20 39 47 43 
 Saturday19th February 2000 , 1 5 11 32 43 46 38 
 Wednesday16th February 2000 , 6 7 12 16 19 42 18 
 Saturday12th February 2000 , 4 6 12 17 18 19 37 
 Wednesday9th February 2000 , 3 6 14 19 32 41 35 
 Saturday5th February 2000 , 21 38 40 46 47 49 48 
 Wednesday2nd February 2000 , 10 30 31 32 39 42 25 
 Saturday29th January 2000 , 5 7 17 21 27 48 37 
 Wednesday26th January 2000 , 6 14 21 28 41 43 30 
 Saturday22nd January 2000 , 7 9 10 40 41 44 14 
 Wednesday19th January 2000 , 4 16 17 43 46 48 5 
 Saturday15th January 2000 , 10 12 16 17 31 47 21 
 Wednesday12th January 2000 , 3 10 14 17 19 27 49 
 Saturday8th January 2000 , 13 18 32 34 39 41 2 
 Wednesday5th January 2000 , 5 22 25 30 31 33 7 
 Saturday1st January 2000 , 2 5 14 23 27 48 38 
 Saturday29th December 2001 , 11 19 31 32 36 45 41 
 Wednesday26th December 2001 , 10 17 26 29 36 37 16 
 Saturday22nd December 2001 , 1 9 10 12 23 40 8 
 Wednesday19th December 2001 , 7 28 34 43 46 48 20 
 Saturday15th December 2001 , 5 7 13 24 35 40 16 
 Wednesday12th December 2001 , 9 23 25 33 38 44 29 
 Saturday8th December 2001 , 1 14 16 30 34 42 9 
 Wednesday5th December 2001 , 4 6 8 19 23 29 38 
 Saturday1st December 2001 , 2 14 19 26 34 48 11 
 Wednesday28th November 2001 , 8 22 31 32 42 45 20 
 Saturday24th November 2001 , 23 27 30 37 38 42 28 
 Wednesday21st November 2001 , 10 25 30 38 44 46 17 
 Saturday17th November 2001 , 12 19 30 34 37 41 1 
 Wednesday14th November 2001 , 19 29 32 33 43 47 46 
 Saturday10th November 2001 , 6 23 24 25 30 49 39 
 Wednesday7th November 2001 , 8 9 10 20 39 40 36 
 Saturday3rd November 2001 , 10 31 34 39 43 44 17 
 Wednesday31st October 2001 , 4 5 6 18 36 49 13 
 Saturday27th October 2001 , 2 21 23 24 27 38 33 
 Wednesday24th October 2001 , 8 38 39 40 43 44 3 
 Saturday20th October 2001 , 1 3 6 19 21 26 14 
 Wednesday17th October 2001 , 5 20 26 31 32 40 36 
 Saturday13th October 2001 , 8 33 38 40 48 49 6 
 Wednesday10th October 2001 , 18 26 28 30 38 46 25 
 Saturday6th October 2001 , 9 12 29 33 44 47 45 
 Wednesday3rd October 2001 , 2 14 26 30 44 45 40 
 Saturday29th September 2001 , 2 14 17 22 38 44 35 
 Wednesday26th September 2001 , 3 14 15 17 19 47 5 
 Saturday22nd September 2001 , 6 14 35 45 46 49 16 
 Wednesday19th September 2001 , 6 8 21 25 30 45 42 
 Saturday15th September 2001 , 2 9 15 17 40 48 23 
 Wednesday12th September 2001 , 11 21 25 27 30 35 40 
 Saturday8th September 2001 , 1 6 13 18 20 49 30 
 Wednesday5th September 2001 , 15 23 24 27 43 48 12 
 Saturday1st September 2001 , 1 9 32 34 38 49 3 
 Wednesday29th August 2001 , 4 5 9 13 29 47 36 
 Saturday25th August 2001 , 1 10 14 30 36 43 20 
 Wednesday22nd August 2001 , 14 20 22 29 33 37 45 
 Saturday18th August 2001 , 11 16 18 22 23 31 37 
 Wednesday15th August 2001 , 4 6 18 21 35 38 31 
 Saturday11th August 2001 , 18 19 25 36 38 40 42 
 Wednesday8th August 2001 , 26 29 31 32 39 46 33 
 Saturday4th August 2001 , 4 7 11 15 28 47 39 
 Wednesday1st August 2001 , 11 15 20 27 33 40 14 
 Saturday28th July 2001 , 3 13 29 31 36 45 44 
 Wednesday25th July 2001 , 1 2 3 8 30 37 19 
 Saturday21st July 2001 , 1 9 13 18 27 45 29 
 Wednesday18th July 2001 , 2 25 31 37 41 45 6 
 Saturday14th July 2001 , 7 11 14 22 37 38 36 
 Wednesday11th July 2001 , 11 16 19 24 33 47 39 
 Saturday7th July 2001 , 24 34 37 38 41 49 15 
 Wednesday4th July 2001 , 13 28 32 38 40 47 27 
 Saturday30th June 2001 , 9 15 22 43 46 48 21 
 Wednesday27th June 2001 , 12 18 39 43 45 49 33 
 Saturday23rd June 2001 , 7 15 16 24 25 46 37 
 Wednesday20th June 2001 , 11 18 24 31 34 49 48 
 Saturday16th June 2001 , 7 25 31 35 39 45 8 
 Wednesday13th June 2001 , 12 14 19 33 35 48 40 
 Saturday9th June 2001 , 12 14 24 33 45 48 31 
 Wednesday6th June 2001 , 12 16 35 37 38 47 26 
 Saturday2nd June 2001 , 7 11 19 24 32 39 29 
 Wednesday30th May 2001 , 7 15 23 35 39 44 48 
 Saturday26th May 2001 , 3 15 22 29 35 49 20 
 Wednesday23rd May 2001 , 4 11 30 31 44 47 21 
 Saturday19th May 2001 , 4 12 30 33 43 48 35 
 Wednesday16th May 2001 , 1 25 27 33 38 45 4 
 Saturday12th May 2001 , 6 29 30 38 39 45 22 
 Wednesday9th May 2001 , 9 18 27 30 32 48 46 
 Saturday5th May 2001 , 1 3 16 33 46 47 35 
 Wednesday2nd May 2001 , 2 17 20 23 28 43 16 
 Saturday28th April 2001 , 2 25 33 40 44 47 17 
 Wednesday25th April 2001 , 10 11 24 35 40 44 33 
 Saturday21st April 2001 , 12 20 23 26 33 46 1 
 Wednesday18th April 2001 , 30 35 41 44 46 49 33 
 Saturday14th April 2001 , 7 24 35 41 42 47 12 
 Wednesday11th April 2001 , 2 19 37 38 44 49 33 
 Saturday7th April 2001 , 9 19 30 32 34 44 18 
 Wednesday4th April 2001 , 10 16 23 24 28 45 46 
 Saturday31st March 2001 , 22 23 26 34 37 44 8 
 Wednesday28th March 2001 , 2 25 34 35 36 39 26 
 Saturday24th March 2001 , 6 25 31 32 42 43 38 
 Wednesday21st March 2001 , 11 22 27 34 39 42 36 
 Saturday17th March 2001 , 1 3 15 26 45 46 48 
 Wednesday14th March 2001 , 1 5 8 31 37 38 15 
 Saturday10th March 2001 , 2 4 12 21 36 37 46 
 Wednesday7th March 2001 , 3 12 30 33 40 49 22 
 Saturday3rd March 2001 , 7 14 20 24 38 48 17 
 Wednesday28th February 2001 , 4 9 12 13 22 32 8 
 Saturday24th February 2001 , 1 3 12 28 29 41 42 
 Wednesday21st February 2001 , 8 10 24 30 40 44 17 
 Saturday17th February 2001 , 10 14 31 35 40 45 26 
 Wednesday14th February 2001 , 3 10 23 27 30 32 19 
 Saturday10th February 2001 , 7 9 12 17 20 32 30 
 Wednesday7th February 2001 , 2 5 33 37 40 45 22 
 Saturday3rd February 2001 , 2 15 16 17 25 26 44 
 Wednesday31st January 2001 , 1 16 33 36 38 45 48 
 Saturday27th January 2001 , 4 12 15 39 45 47 22 
 Wednesday24th January 2001 , 10 11 28 29 31 39 24 
 Saturday20th January 2001 , 13 17 22 41 43 47 28 
 Wednesday17th January 2001 , 10 13 24 31 36 47 41 
 Saturday13th January 2001 , 12 23 28 34 36 40 18 
 Wednesday10th January 2001 , 10 14 15 23 24 27 39 
 Saturday6th January 2001 , 6 16 23 34 35 40 37 
 Wednesday3rd January 2001 , 5 6 16 17 19 22 40 
 Saturday28th December 2002 , 2 18 20 32 36 37 5 
 Tuesday24th December 2002 , 4 8 9 19 32 46 17 
 Saturday21st December 2002 , 4 22 23 37 43 44 19 
 Wednesday18th December 2002 , 11 17 21 22 40 42 19 
 Saturday14th December 2002 , 11 21 38 39 45 47 26 
 Wednesday11th December 2002 , 10 13 15 16 29 48 49 
 Saturday7th December 2002 , 2 19 29 34 35 36 18 
 Wednesday4th December 2002 , 2 4 23 26 28 40 29 
 Saturday30th November 2002 , 6 7 20 29 37 39 25 
 Wednesday27th November 2002 , 11 25 35 36 42 47 18 
 Saturday23rd November 2002 , 5 6 12 19 30 47 25 
 Wednesday20th November 2002 , 16 18 19 44 46 48 3 
 Saturday16th November 2002 , 10 30 34 42 48 49 6 
 Wednesday13th November 2002 , 3 6 8 14 24 31 35 
 Saturday9th November 2002 , 4 5 8 19 31 37 36 
 Wednesday6th November 2002 , 2 6 8 21 41 42 7 
 Saturday2nd November 2002 , 5 28 32 39 42 48 21 
 Wednesday30th October 2002 , 10 21 26 31 48 49 29 
 Saturday26th October 2002 , 7 10 24 32 33 45 29 
 Wednesday23rd October 2002 , 11 26 36 43 44 46 29 
 Saturday19th October 2002 , 12 30 43 44 45 47 10 
 Wednesday16th October 2002 , 13 19 25 28 34 45 32 
 Saturday12th October 2002 , 16 18 35 36 39 48 15 
 Wednesday9th October 2002 , 7 22 25 31 44 47 1 
 Saturday5th October 2002 , 15 16 18 36 37 49 28 
 Wednesday2nd October 2002 , 2 3 14 15 21 48 8 
 Saturday28th September 2002 , 2 9 10 11 13 16 26 
 Wednesday25th September 2002 , 6 21 29 32 33 47 4 
 Saturday21st September 2002 , 1 6 7 11 13 30 27 
 Wednesday18th September 2002 , 4 7 12 29 37 42 14 
 Saturday14th September 2002 , 8 14 24 27 29 32 21 
 Wednesday11th September 2002 , 15 20 28 37 40 44 23 
 Saturday7th September 2002 , 7 21 29 31 38 41 28 
 Wednesday4th September 2002 , 2 23 28 33 45 47 13 
 Saturday31st August 2002 , 2 18 23 31 43 46 11 
 Wednesday28th August 2002 , 4 7 9 17 36 46 23 
 Saturday24th August 2002 , 4 17 26 28 38 46 3 
 Wednesday21st August 2002 , 5 14 19 32 34 42 35 
 Saturday17th August 2002 , 19 20 31 32 35 40 23 
 Wednesday14th August 2002 , 1 6 8 20 29 38 31 
 Saturday10th August 2002 , 13 16 23 28 31 32 18 
 Wednesday7th August 2002 , 10 22 23 30 33 42 36 
 Saturday3rd August 2002 , 6 11 19 35 36 44 39 
 Wednesday31st July 2002 , 9 13 15 23 26 45 49 
 Saturday27th July 2002 , 24 26 28 29 34 44 45 
 Wednesday24th July 2002 , 7 13 21 34 35 43 10 
 Saturday20th July 2002 , 7 10 16 34 47 48 36 
 Wednesday17th July 2002 , 10 11 31 41 45 46 42 
 Saturday13th July 2002 , 15 21 23 24 31 32 8 
 Wednesday10th July 2002 , 4 18 19 20 30 43 24 
 Saturday6th July 2002 , 1 20 42 43 44 49 9 
 Wednesday3rd July 2002 , 2 4 5 22 27 29 24 
 Saturday29th June 2002 , 4 25 28 36 42 49 37 
 Wednesday26th June 2002 , 6 7 25 33 38 43 23 
 Saturday22nd June 2002 , 14 17 18 22 32 37 12 
 Wednesday19th June 2002 , 18 21 32 36 39 41 9 
 Saturday15th June 2002 , 3 13 14 23 30 36 32 
 Wednesday12th June 2002 , 1 2 10 34 47 48 12 
 Saturday8th June 2002 , 15 16 18 28 36 47 49 
 Wednesday5th June 2002 , 3 5 7 26 43 47 10 
 Saturday1st June 2002 , 13 19 27 36 41 44 3 
 Wednesday29th May 2002 , 19 26 30 34 40 44 13 
 Saturday25th May 2002 , 7 14 15 25 27 40 18 
 Wednesday22nd May 2002 , 5 9 18 39 43 46 48 
 Saturday18th May 2002 , 21 22 30 31 38 48 13 
 Wednesday15th May 2002 , 4 6 10 19 40 49 9 
 Saturday11th May 2002 , 1 25 27 35 43 46 22 
 Wednesday8th May 2002 , 8 10 42 44 47 49 14 
 Saturday4th May 2002 , 8 9 11 17 45 47 24 
 Wednesday1st May 2002 , 10 15 19 22 24 32 41 
 Saturday27th April 2002 , 11 19 32 33 43 44 3 
 Wednesday24th April 2002 , 3 13 17 20 21 30 23 
 Saturday20th April 2002 , 7 14 21 32 43 44 31 
 Wednesday17th April 2002 , 5 13 19 30 32 43 6 
 Saturday13th April 2002 , 3 19 22 40 41 44 35 
 Wednesday10th April 2002 , 5 11 24 26 34 41 2 
 Saturday6th April 2002 , 17 18 32 35 39 48 8 
 Wednesday3rd April 2002 , 4 8 18 26 32 34 10 
 Saturday30th March 2002 , 8 14 25 36 38 47 15 
 Wednesday27th March 2002 , 6 9 20 24 35 36 39 
 Saturday23rd March 2002 , 9 24 28 30 31 40 49 
 Wednesday20th March 2002 , 10 18 25 28 37 43 14 
 Saturday16th March 2002 , 5 6 26 41 42 44 11 
 Wednesday13th March 2002 , 1 7 15 23 27 34 26 
 Saturday9th March 2002 , 9 18 20 21 39 48 6 
 Wednesday6th March 2002 , 5 17 20 31 33 34 26 
 Saturday2nd March 2002 , 8 11 25 33 37 43 30 
 Wednesday27th February 2002 , 6 12 28 31 39 44 42 
 Saturday23rd February 2002 , 8 9 27 34 43 48 25 
 Wednesday20th February 2002 , 17 21 24 25 46 49 22 
 Saturday16th February 2002 , 10 20 24 36 37 44 1 
 Wednesday13th February 2002 , 4 7 12 13 16 29 22 
 Saturday9th February 2002 , 7 15 20 28 40 48 4 
 Wednesday6th February 2002 , 2 13 20 36 37 40 34 
 Saturday2nd February 2002 , 6 12 30 39 45 46 11 
 Wednesday30th January 2002 , 12 19 27 39 42 47 4 
 Saturday26th January 2002 , 10 13 20 25 27 32 1 
 Wednesday23rd January 2002 , 6 8 14 19 20 44 41 
 Saturday19th January 2002 , 7 18 34 37 39 42 21 
 Wednesday16th January 2002 , 15 16 23 27 32 44 17 
 Saturday12th January 2002 , 1 3 11 12 20 24 38 
 Wednesday9th January 2002 , 16 20 28 29 41 45 12 
 Saturday5th January 2002 , 2 16 28 34 41 42 38 
 Wednesday2nd January 2002 , 2 6 20 24 29 32 21 
 Wednesday31st December 2003 , 19 28 31 34 41 47 1 
 Saturday27th December 2003 , 3 18 22 27 41 46 37 
 Wednesday24th December 2003 , 1 7 24 27 46 48 31 
 Saturday20th December 2003 , 8 23 35 39 44 46 31 
 Wednesday17th December 2003 , 4 6 13 21 36 46 37 
 Saturday13th December 2003 , 1 7 9 28 33 39 4 
 Wednesday10th December 2003 , 8 14 21 26 37 48 9 
 Saturday6th December 2003 , 3 11 13 34 35 43 8 
 Wednesday3rd December 2003 , 2 28 34 35 38 47 6 
 Saturday29th November 2003 , 9 23 25 26 33 36 37 
 Wednesday26th November 2003 , 16 32 34 35 40 48 3 
 Saturday22nd November 2003 , 1 5 8 16 31 39 22 
 Wednesday19th November 2003 , 11 12 13 18 43 48 21 
 Saturday15th November 2003 , 17 30 31 32 35 47 42 
 Wednesday12th November 2003 , 6 9 13 17 21 24 30 
 Saturday8th November 2003 , 2 12 33 39 45 48 29 
 Wednesday5th November 2003 , 10 12 18 20 22 47 38 
 Saturday1st November 2003 , 9 11 15 24 38 46 29 
 Wednesday29th October 2003 , 9 19 25 29 30 38 3 
 Saturday25th October 2003 , 4 10 18 21 43 49 15 
 Wednesday22nd October 2003 , 6 19 29 32 34 46 39 
 Saturday18th October 2003 , 5 11 17 23 40 45 41 
 Wednesday15th October 2003 , 7 11 16 32 42 49 17 
 Saturday11th October 2003 , 3 6 11 20 34 43 36 
 Wednesday8th October 2003 , 6 22 25 26 28 44 9 
 Saturday4th October 2003 , 2 8 23 32 35 39 16 
 Wednesday1st October 2003 , 3 16 24 27 30 48 21 
 Saturday27th September 2003 , 7 24 30 44 46 47 38 
 Wednesday24th September 2003 , 11 13 28 34 37 45 9 
 Saturday20th September 2003 , 1 2 15 23 31 48 49 
 Wednesday17th September 2003 , 3 9 15 16 21 29 46 
 Saturday13th September 2003 , 3 4 8 9 30 32 12 
 Wednesday10th September 2003 , 9 25 28 37 41 48 30 
 Saturday6th September 2003 , 1 21 25 27 39 42 17 
 Wednesday3rd September 2003 , 10 11 13 38 39 42 8 
 Saturday30th August 2003 , 18 26 33 38 43 44 2 
 Wednesday27th August 2003 , 8 18 19 29 44 45 42 
 Saturday23rd August 2003 , 10 15 18 25 42 48 11 
 Wednesday20th August 2003 , 5 6 34 37 42 48 31 
 Saturday16th August 2003 , 1 9 10 12 42 45 27 
 Wednesday13th August 2003 , 10 15 16 18 19 28 8 
 Saturday9th August 2003 , 11 14 19 25 30 41 38 
 Wednesday6th August 2003 , 1 8 13 22 36 45 21 
 Saturday2nd August 2003 , 5 26 28 45 47 49 8 
 Wednesday30th July 2003 , 2 17 22 38 45 49 1 
 Saturday26th July 2003 , 1 12 16 26 37 49 23 
 Wednesday23rd July 2003 , 11 19 23 31 38 46 9 
 Saturday19th July 2003 , 3 9 10 17 34 48 36 
 Wednesday16th July 2003 , 2 15 16 17 26 42 35 
 Saturday12th July 2003 , 9 12 13 15 21 33 43 
 Wednesday9th July 2003 , 2 7 24 30 31 35 18 
 Saturday5th July 2003 , 6 10 18 19 22 43 8 
 Wednesday2nd July 2003 , 1 14 17 23 30 47 12 
 Saturday28th June 2003 , 1 10 17 23 29 35 36 
 Wednesday25th June 2003 , 2 6 7 23 27 30 21 
 Saturday21st June 2003 , 12 20 36 39 44 45 49 
 Wednesday18th June 2003 , 16 18 26 32 38 40 27 
 Saturday14th June 2003 , 3 12 29 37 43 46 11 
 Wednesday11th June 2003 , 9 13 22 39 48 49 14 
 Saturday7th June 2003 , 2 5 6 17 18 30 29 
 Wednesday4th June 2003 , 7 20 27 40 43 49 12 
 Saturday31st May 2003 , 2 9 12 22 25 26 21 
 Wednesday28th May 2003 , 1 7 15 25 27 32 22 
 Saturday24th May 2003 , 4 22 25 30 34 42 35 
 Wednesday21st May 2003 , 18 19 21 32 35 39 42 
 Saturday17th May 2003 , 8 12 15 22 36 48 37 
 Wednesday14th May 2003 , 1 3 4 16 17 27 7 
 Saturday10th May 2003 , 8 18 24 26 32 38 31 
 Wednesday7th May 2003 , 7 12 26 33 35 47 28 
 Saturday3rd May 2003 , 3 6 7 29 46 49 37 
 Wednesday30th April 2003 , 16 20 26 35 43 46 10 
 Saturday26th April 2003 , 9 21 27 33 35 48 18 
 Wednesday23rd April 2003 , 13 24 31 33 41 44 5 
 Saturday19th April 2003 , 8 10 13 31 38 48 14 
 Wednesday16th April 2003 , 5 7 23 29 38 47 26 
 Saturday12th April 2003 , 3 5 16 25 43 45 23 
 Wednesday9th April 2003 , 7 20 25 27 33 45 41 
 Saturday5th April 2003 , 9 26 30 31 38 45 32 
 Wednesday2nd April 2003 , 8 11 15 21 37 39 25 
 Saturday29th March 2003 , 5 15 21 33 35 42 26 
 Wednesday26th March 2003 , 10 22 35 37 47 49 31 
 Saturday22nd March 2003 , 2 8 10 45 47 49 9 
 Wednesday19th March 2003 , 2 10 15 16 18 39 36 
 Saturday15th March 2003 , 4 24 25 28 38 47 11 
 Wednesday12th March 2003 , 6 16 33 37 40 41 25 
 Saturday8th March 2003 , 5 6 8 32 33 41 15 
 Wednesday5th March 2003 , 3 8 12 23 34 46 24 
 Saturday1st March 2003 , 22 24 29 31 44 45 35 
 Wednesday26th February 2003 , 5 18 34 38 40 45 22 
 Saturday22nd February 2003 , 19 30 33 38 42 44 31 
 Wednesday19th February 2003 , 1 4 10 17 28 35 32 
 Saturday15th February 2003 , 4 20 32 44 48 49 27 
 Wednesday12th February 2003 , 12 17 18 20 30 35 49 
 Saturday8th February 2003 , 23 27 32 37 41 43 35 
 Wednesday5th February 2003 , 1 13 17 26 42 46 30 
 Saturday1st February 2003 , 2 13 30 39 45 47 21 
 Wednesday29th January 2003 , 1 6 26 29 37 48 27 
 Saturday25th January 2003 , 3 19 35 38 39 42 1 
 Wednesday22nd January 2003 , 5 16 23 35 44 47 46 
 Saturday18th January 2003 , 4 11 20 35 43 46 18 
 Wednesday15th January 2003 , 11 29 33 38 46 48 44 
 Saturday11th January 2003 , 9 18 22 26 37 41 20 
 Wednesday8th January 2003 , 10 12 22 34 46 48 3 
 Saturday4th January 2003 , 19 32 33 36 40 45 28 
 Wednesday1st January 2003 , 3 22 27 29 34 41 31 
 Wednesday29th December 2004 , 4 22 30 41 43 47 29 
 Friday24th December 2004 , 15 19 24 36 37 49 35 
 Wednesday22nd December 2004 , 4 12 27 44 45 47 41 
 Saturday18th December 2004 , 5 16 22 25 27 30 33 
 Wednesday15th December 2004 , 7 11 19 25 31 39 23 
 Saturday11th December 2004 , 7 9 19 23 27 49 1 
 Wednesday8th December 2004 , 11 12 16 26 35 39 34 
 Saturday4th December 2004 , 8 9 35 38 42 45 14 
 Wednesday1st December 2004 , 7 18 27 31 36 49 43 
 Saturday27th November 2004 , 4 7 9 10 43 46 11 
 Wednesday24th November 2004 , 6 9 15 23 38 48 45 
 Saturday20th November 2004 , 1 4 8 26 28 36 31 
 Wednesday17th November 2004 , 11 14 20 24 28 36 46 
 Saturday13th November 2004 , 4 10 12 13 14 22 21 
 Wednesday10th November 2004 , 13 27 37 40 43 49 1 
 Saturday6th November 2004 , 2 26 29 36 39 40 10 
 Wednesday3rd November 2004 , 5 25 33 35 36 39 43 
 Saturday30th October 2004 , 3 8 9 26 27 47 45 
 Wednesday27th October 2004 , 9 11 21 39 40 46 35 
 Saturday23rd October 2004 , 22 27 33 37 38 40 24 
 Wednesday20th October 2004 , 10 13 19 25 31 33 21 
 Saturday16th October 2004 , 25 32 33 36 45 46 47 
 Wednesday13th October 2004 , 3 7 14 17 18 43 42 
 Saturday9th October 2004 , 6 17 22 27 30 34 26 
 Wednesday6th October 2004 , 6 11 12 19 37 44 16 
 Saturday2nd October 2004 , 1 5 6 31 33 41 35 
 Wednesday29th September 2004 , 4 14 23 31 35 41 24 
 Saturday25th September 2004 , 3 10 28 29 42 43 2 
 Wednesday22nd September 2004 , 12 19 40 42 46 49 17 
 Saturday18th September 2004 , 5 10 13 14 28 42 48 
 Wednesday15th September 2004 , 3 11 17 21 33 44 27 
 Saturday11th September 2004 , 5 8 19 30 35 42 18 
 Wednesday8th September 2004 , 1 10 27 35 39 48 28 
 Saturday4th September 2004 , 3 5 10 25 43 47 20 
 Wednesday1st September 2004 , 12 25 27 32 37 49 28 
 Saturday28th August 2004 , 6 7 10 20 37 44 36 
 Wednesday25th August 2004 , 10 12 13 19 31 46 17 
 Saturday21st August 2004 , 1 2 19 30 44 49 21 
 Wednesday18th August 2004 , 6 11 12 13 36 42 21 
 Saturday14th August 2004 , 13 14 31 32 37 41 42 
 Wednesday11th August 2004 , 11 12 19 47 48 49 7 
 Saturday7th August 2004 , 8 11 28 33 38 41 40 
 Wednesday4th August 2004 , 4 7 8 10 17 22 11 
 Saturday31st July 2004 , 3 13 17 29 40 48 39 
 Wednesday28th July 2004 , 10 11 14 21 25 42 15 
 Saturday24th July 2004 , 22 27 30 31 48 49 28 
 Wednesday21st July 2004 , 6 9 13 15 40 43 2 
 Saturday17th July 2004 , 1 3 11 16 23 36 22 
 Wednesday14th July 2004 , 6 27 33 38 45 47 8 
 Saturday10th July 2004 , 6 9 31 32 40 47 24 
 Wednesday7th July 2004 , 5 10 11 16 17 33 13 
 Saturday3rd July 2004 , 6 8 21 25 43 47 16 
 Wednesday30th June 2004 , 11 12 15 29 37 43 45 
 Saturday26th June 2004 , 16 21 24 28 31 33 3 
 Wednesday23rd June 2004 , 5 18 21 24 38 48 25 
 Saturday19th June 2004 , 2 23 28 31 42 45 17 
 Wednesday16th June 2004 , 22 26 29 31 35 42 6 
 Saturday12th June 2004 , 7 22 35 44 48 49 16 
 Wednesday9th June 2004 , 1 12 23 26 35 45 43 
 Saturday5th June 2004 , 5 8 9 26 29 44 16 
 Wednesday2nd June 2004 , 5 22 26 40 42 43 44 
 Saturday29th May 2004 , 1 4 6 18 19 40 30 
 Wednesday26th May 2004 , 11 15 18 24 34 44 28 
 Saturday22nd May 2004 , 1 4 5 25 34 46 12 
 Wednesday19th May 2004 , 10 22 28 33 37 39 42 
 Saturday15th May 2004 , 4 29 35 44 46 49 12 
 Wednesday12th May 2004 , 10 11 15 18 19 40 28 
 Saturday8th May 2004 , 14 17 23 28 42 49 5 
 Wednesday5th May 2004 , 23 32 33 42 43 45 4 
 Saturday1st May 2004 , 5 6 10 15 27 49 20 
 Wednesday28th April 2004 , 1 3 26 34 43 47 12 
 Saturday24th April 2004 , 1 3 4 5 17 37 30 
 Wednesday21st April 2004 , 7 19 20 29 41 49 18 
 Saturday17th April 2004 , 3 21 31 42 47 48 34 
 Wednesday14th April 2004 , 1 3 22 32 38 44 45 
 Saturday10th April 2004 , 25 30 34 39 40 47 16 
 Wednesday7th April 2004 , 9 25 33 36 46 49 43 
 Saturday3rd April 2004 , 3 9 12 28 29 38 5 
 Wednesday31st March 2004 , 4 7 8 11 24 40 33 
 Saturday27th March 2004 , 19 21 25 33 37 41 38 
 Wednesday24th March 2004 , 7 17 19 26 29 41 49 
 Saturday20th March 2004 , 13 21 37 42 46 48 22 
 Wednesday17th March 2004 , 5 16 30 38 42 43 4 
 Saturday13th March 2004 , 1 10 11 18 19 46 43 
 Wednesday10th March 2004 , 11 14 17 34 37 43 22 
 Saturday6th March 2004 , 17 19 20 35 43 45 7 
 Wednesday3rd March 2004 , 24 38 40 44 47 48 23 
 Saturday28th February 2004 , 6 19 22 38 39 43 18 
 Wednesday25th February 2004 , 6 21 28 34 38 41 47 
 Saturday21st February 2004 , 1 5 8 18 42 48 38 
 Wednesday18th February 2004 , 1 3 5 13 21 24 29 
 Saturday14th February 2004 , 14 15 17 31 39 45 23 
 Wednesday11th February 2004 , 22 23 38 40 43 47 32 
 Saturday7th February 2004 , 18 22 25 44 45 46 7 
 Wednesday4th February 2004 , 9 11 18 20 35 47 40 
 Saturday31st January 2004 , 5 12 13 19 27 47 40 
 Wednesday28th January 2004 , 8 10 16 17 30 47 7 
 Saturday24th January 2004 , 16 25 27 32 35 43 42 
 Wednesday21st January 2004 , 3 11 25 28 34 45 42 
 Saturday17th January 2004 , 4 8 21 24 39 44 5 
 Wednesday14th January 2004 , 2 5 19 21 40 46 33 
 Saturday10th January 2004 , 14 23 29 39 41 45 17 
 Wednesday7th January 2004 , 2 12 17 23 24 34 10 
 Saturday3rd January 2004 , 17 18 22 23 40 49 10 
 Saturday31st December 2005 , 6 9 11 33 36 49 29 
 Wednesday28th December 2005 , 6 8 10 19 30 42 23 
 Saturday24th December 2005 , 17 21 25 27 30 37 16 
